,AUSTRALIA,BANGLADESH,BELGIUM,BRUNEI DARUSSALAM,CAMBODIA,CANADA,CHINA,CHINESE TAIPEI,DENMARK,EGYPT,FRANCE,GERMANY,INDIA,INDONESIA,IRAN,IRAQ,IRELAND,ITALY,JAPAN,KAZAKHSTAN,LAOS,MYANMAR,NEPAL,NETHERLANDS,NEW ZEALAND,NORWAY,OTHERS,PAKISTAN,PHILIPPINES,POLAND,RUSSIA,SAUDI ARABIA,SINGAPORE,SOUTH AFRICA,SOUTH KOREA,SPAIN,SRI LANKA,SWEDEN,SWITZERLAND,THAILAND,TURKEY,U.S.A,UAE,UKRAINE,UNITED KINGDOM,VIETNAM
6/30/2026,33229,9808,1135,104820,4683,5931,300046,35040,1048,2501,14909,9673,79252,268731,1808,2443,2189,5140,22495,2333,1715,8862,1406,5019,3763,1290,31238,6500,43007,1668,4089,7404,932446,1659,37864,3550,2919,2193,1907,139141,1870,26473,568,1071,27605,26425
7/31/2026,36368,9766,2071,105068,4682,6677,300696,39308,1931,2502,18775,10298,77354,267114,2196,2275,2461,6365,24621,2289,1715,8095,1419,8209,4473,1623,32173,6445,43007,1729,4979,8123,935859,1732,44232,3355,2832,2405,2928,139760,1817,25680,1230,1151,28361,26953
8/31/2026,33818,9729,1576,105299,4681,6613,300632,36941,1170,2606,19326,10428,75831,263040,2214,2214,2348,9938,27861,2151,1720,8255,1420,7103,3857,1192,30576,6425,43007,1691,4577,6400,930228,1605,46150,3208,2897,2277,2299,139368,1811,25362,943,1189,28315,26310
9/30/2026,35926,9696,1400,104849,4682,6217,300274,33819,1168,2579,15641,10210,75430,260904,2420,2049,2239,5534,25592,2051,1719,8472,1424,5734,4037,1212,28199,6386,43007,1675,4424,4765,934138,1671,41786,3097,2801,2358,2081,139443,1835,26468,359,1150,27911,25544
10/31/2026,35346,9666,1209,104494,4683,6778,300092,33594,1366,2585,16056,10157,73037,258643,1886,2122,2318,5114,25047,1972,1719,7852,1423,5549,4245,1300,27567,6348,43007,1670,4887,4744,936104,1649,43530,3012,2783,2476,2268,139844,1754,25599,385,1166,28017,25185
11/30/2026,35224,9639,1122,104904,4685,6915,299864,31255,1232,2510,15412,10248,71012,256960,1775,2228,2253,5360,24852,1921,1717,7789,1418,5360,3794,1330,28832,6287,43007,1718,5895,5528,931533,1686,42724,2948,2703,2579,2219,139432,1721,25407,380,1193,28003,24830
12/31/2026,39415,9615,1070,109519,4687,7357,300397,29185,1274,2555,15712,10932,72065,257396,1905,2371,2231,5541,25427,1906,1718,8317,1411,5378,4572,1401,30616,6299,43007,1691,6670,4451,939507,2345,46113,2900,2768,2907,2311,139504,1707,26574,755,1270,28423,24461
1/31/2027,41122,9594,1183,106560,4689,7821,301032,35233,1804,2544,16691,10543,69792,254385,2047,2289,2373,5951,25607,1899,1718,7098,1405,5729,4478,1501,30963,6256,43007,1876,8697,5026,932832,1787,58765,2863,2627,3000,2511,139547,1726,25625,369,1399,28428,24267
2/28/2027,34080,9575,1240,107237,4691,7723,302121,33794,1876,2618,18056,11860,68695,251685,2132,2222,2314,5765,26187,1851,1719,7338,1401,5659,3429,1546,29512,6247,43007,1923,7870,4489,930966,1656,49090,2836,2653,3028,2528,139561,1706,25467,379,1387,28677,24441
3/31/2027,34189,9558,1212,107718,4692,7539,301123,30823,1593,2365,17056,11133,69035,249275,3338,2038,2329,5512,26124,2011,1718,7624,1399,5347,3503,1482,27735,6185,43007,1796,7607,3535,937849,1696,42900,2815,2560,2779,2411,139804,1645,26521,282,1379,28874,24463
4/30/2027,36045,9543,1145,107690,4694,6834,300744,30444,1313,2476,17200,10623,68381,249194,1359,2106,2244,5167,23851,1991,1716,6986,1400,5460,3912,1315,27307,6168,43007,1661,5853,3768,932270,1609,40433,2799,2644,2454,2355,139658,1656,25580,452,1256,28357,24218
5/31/2027,33103,9529,1028,106839,4696,6644,301138,30159,951,2495,16792,10467,70891,247806,1411,2203,2163,4808,23863,1935,1720,7193,1404,5249,3448,1189,28287,6202,43007,1601,4613,4076,932754,1604,39492,2787,2583,2284,2040,139696,1623,25461,359,1217,28042,24116
6/30/2027,34802,9517,1100,106707,4697,6252,301568,32782,1016,2594,16544,9971,69062,248008,1743,2413,2322,5092,23440,1964,1720,7665,1409,4814,3736,1401,29519,6197,43007,1626,3732,5870,939298,1738,39496,2778,2601,2458,1953,139561,1651,26508,534,1128,28073,24511
7/31/2027,38039,9506,2022,106801,4698,6968,301718,36750,1884,2602,20099,10293,68160,247062,2118,2326,2582,5975,25396,1935,1720,7186,1414,7735,4430,1711,29903,6180,43007,1656,4593,6327,934356,1789,48147,2771,2538,2629,2952,139712,1622,25626,1050,1193,28360,24694
8/31/2027,35213,9496,1540,106888,4699,6906,301703,34438,1135,2672,20605,10360,67425,245360,2136,2246,2473,8603,28378,1851,1721,7378,1417,6701,3826,1311,28881,6173,43007,1638,4224,5095,935650,1700,50745,2766,2586,2525,2336,139617,1614,25533,826,1224,28343,24449
9/30/2027,37420,9487,1370,106718,4700,6526,301620,31402,1132,2652,17217,10247,67163,244312,2335,2137,2370,5301,26289,1791,1721,7451,1418,5425,4001,1329,27536,6161,43007,1630,4091,3918,938311,1747,44690,2762,2521,2591,2122,139635,1621,26496,371,1192,28189,24160
10/31/2027,36996,9480,1185,106584,4701,7065,301579,31109,1328,2656,17599,10220,66090,243253,1819,2182,2445,4961,25788,1742,1721,7091,1417,5239,4204,1411,27224,6150,43007,1627,4543,3854,934485,1731,44270,2759,2542,2686,2307,139732,1579,25597,391,1206,28229,24021
11/30/2027,36576,9473,1103,106739,4701,7196,301526,28818,1195,2607,17006,10267,65177,242406,1711,2276,2383,5116,25608,1710,1720,7073,1414,5049,3761,1439,28032,6133,43007,1650,5511,4346,937044,1757,43608,2757,2485,2770,2258,139632,1560,25564,388,1228,28224,23885
12/31/2027,40767,9466,1054,108478,4702,7620,301649,26782,1237,2637,17283,10619,65541,242265,1837,2373,2362,5222,26138,1699,1721,7412,1410,5051,4521,1505,29066,6134,43007,1637,6257,3551,938220,2221,49041,2755,2531,3036,2345,139650,1550,26509,680,1290,28383,23745
1/31/2028,42425,9461,1167,107363,4702,8065,301795,32448,1758,2630,18182,10419,64541,241038,1973,2325,2497,5499,26303,1693,1721,6606,1407,5358,4429,1598,29230,6122,43007,1725,8192,3900,934409,1828,62870,2754,2457,3111,2544,139660,1554,25593,379,1395,28385,23669
2/29/2028,35522,9456,1225,107618,4702,7971,302046,31009,1829,2681,19437,11098,64032,239931,2056,2251,2441,5333,26837,1663,1721,6801,1404,5277,3400,1639,28375,6119,43007,1747,7413,3478,937231,1736,52588,2753,2490,3134,2559,139664,1542,25598,386,1385,28480,23728
3/31/2028,35817,9451,1199,107799,4703,7795,301816,28116,1550,2505,18518,10723,64122,238938,3222,2141,2455,5117,26779,1753,1720,7014,1404,4975,3472,1580,27373,6103,43007,1687,7169,2767,936862,1764,44404,2752,2433,2932,2443,139722,1511,26486,311,1380,28555,23733
4/30/2028,37561,9447,1134,107789,4703,7118,301729,27682,1274,2581,18650,10461,63806,238710,1309,2181,2374,4833,24687,1740,1720,6600,1405,5063,3871,1425,27166,6098,43007,1623,5508,2879,935159,1703,41184,2751,2483,2668,2388,139687,1513,25574,444,1279,28358,23640
5/31/2028,34625,9444,1020,107468,4703,6936,301819,27338,918,2592,18275,10380,64800,238078,1359,2264,2296,4538,24698,1706,1721,6732,1407,4853,3415,1308,27793,6105,43007,1595,4334,3042,937419,1700,41733,2751,2437,2531,2080,139696,1495,25617,371,1248,28239,23600
6/30/2028,36402,9441,1092,107419,4703,6560,301918,29756,982,2663,18047,10124,64009,237973,1680,2383,2448,4721,24309,1722,1721,7120,1410,4437,3696,1505,28534,6103,43007,1607,3502,4234,936733,1794,43665,2751,2466,2672,1993,139664,1505,26472,507,1176,28251,23743
7/31/2028,39426,9438,1998,107454,4703,7246,301953,33449,1836,2667,21315,10290,63604,237511,2042,2334,2698,5349,26109,1704,1721,6804,1412,7111,4375,1793,28692,6098,43007,1620,4325,4497,936406,1830,52144,2750,2421,2811,2976,139700,1489,25576,910,1229,28360,23807
8/31/2028,36658,9435,1526,107487,4703,7187,301949,31181,1099,2712,21780,10325,63271,236819,2060,2263,2594,7275,28853,1655,1721,6920,1414,6143,3782,1421,28069,6096,43007,1612,3979,3596,937599,1767,52860,2750,2458,2727,2370,139677,1483,25653,736,1254,28353,23716
9/30/2028,38885,9433,1360,107423,4703,6823,301930,28226,1096,2700,18666,10267,63136,236349,2252,2190,2494,4793,26931,1619,1721,7010,1414,4952,3952,1438,27317,6093,43007,1608,3855,2734,936460,1800,45508,2750,2414,2780,2159,139681,1484,26457,381,1229,28295,23609
10/31/2028,38417,9431,1179,107372,4703,7340,301921,27875,1288,2702,19017,10253,62670,235887,1753,2220,2566,4512,26470,1591,1721,6766,1413,4766,4149,1514,27173,6089,43007,1607,4288,2639,936910,1789,45713,2750,2441,2857,2341,139705,1463,25562,397,1240,28310,23556
11/30/2028,37976,9429,1099,107430,4703,7466,301909,25626,1158,2670,18472,10277,62272,235502,1650,2294,2507,4599,26305,1571,1721,6757,1412,4575,3715,1540,27674,6085,43007,1618,5212,2928,937397,1807,46966,2750,2401,2925,2292,139681,1452,25679,393,1259,28308,23505
12/31/2028,42054,9427,1051,108086,4703,7872,301937,23620,1198,2690,18727,10458,62402,235353,1771,2359,2487,4650,26792,1564,1721,7010,1410,4561,4458,1601,28267,6085,43007,1612,5924,2330,936668,2134,53117,2750,2436,3140,2378,139685,1446,26448,622,1310,28368,23453
1/31/2029,43563,9426,1163,107666,4702,8299,301970,28926,1711,2685,19554,10355,61973,234863,1903,2329,2617,4828,26944,1560,1721,6473,1408,4828,4366,1688,28339,6082,43007,1653,7766,2520,937066,1857,65392,2750,2392,3200,2573,139687,1446,25555,387,1395,28369,23424
2/28/2029,36993,9425,1219,107762,4702,8209,302028,27487,1781,2718,20707,10705,61747,234419,1983,2267,2563,4676,27435,1543,1721,6605,1407,4738,3357,1726,27839,6081,43007,1664,7028,2179,937039,1792,53661,2750,2421,3219,2588,139688,1439,25704,393,1388,28405,23445
3/31/2029,37343,9424,1195,107830,4702,8040,301975,24667,1506,2604,19863,10512,61770,234019,3109,2198,2576,4488,27382,1593,1721,6757,1406,4444,3427,1671,27280,6077,43007,1635,6798,1638,936680,1812,45487,2750,2383,3056,2473,139703,1423,26431,334,1383,28433,23446
4/30/2029,38938,9422,1131,107826,4702,7391,301955,24182,1235,2654,19984,10377,61627,233872,1261,2224,2499,4248,25457,1586,1721,6483,1407,4509,3816,1527,27188,6075,43007,1605,5220,1665,937188,1769,43871,2750,2417,2842,2420,139694,1423,25546,437,1302,28359,23412
5/31/2029,36154,9422,1020,107705,4702,7216,301976,23783,884,2662,19639,10335,62025,233600,1309,2288,2424,4001,25467,1566,1721,6585,1408,4300,3369,1418,27575,6077,43007,1592,4106,1727,936868,1767,45790,2750,2384,2731,2116,139696,1413,25726,381,1278,28314,23396
6/30/2029,37889,9421,1090,107687,4702,6855,301999,26005,946,2707,19429,10203,61689,233503,1619,2358,2570,4109,25109,1574,1721,6836,1410,3901,3643,1602,28008,6076,43007,1597,3316,2499,936953,1833,47275,2750,2410,2845,2029,139688,1417,26415,487,1219,28318,23448
7/31/2029,40708,9420,1980,107700,4702,7514,302007,29438,1787,2710,22434,10289,61513,233297,1969,2329,2808,4549,26766,1564,1721,6628,1411,6347,4306,1869,28070,6075,43007,1604,4099,2631,937303,1858,53868,2750,2379,2958,2998,139697,1408,25541,801,1263,28359,23472
8/31/2029,38095,9419,1517,107712,4702,7457,302006,27211,1062,2740,22861,10306,61367,233022,1986,2273,2709,5952,29290,1535,1721,6720,1412,5441,3725,1523,27699,6074,43007,1600,3771,1959,936866,1814,53672,2750,2407,2890,2401,139692,1404,25752,665,1284,28357,23438
9/30/2029,40238,9419,1354,107688,4702,7108,302002,24332,1059,2732,19998,10277,61304,232821,2172,2225,2614,4079,27522,1515,1721,6776,1412,4329,3890,1539,27281,6073,43007,1598,3655,1314,937091,1837,47431,2750,2376,2933,2193,139693,1404,26398,388,1263,28335,23398
10/31/2029,39751,9418,1176,107669,4702,7603,301999,23926,1248,2733,20321,10269,61105,232628,1690,2245,2683,3842,27097,1498,1721,6617,1412,4141,4082,1610,27221,6072,43007,1598,4068,1199,937217,1829,49190,2750,2401,2995,2371,139698,1393,25535,400,1273,28341,23379
11/30/2029,39353,9418,1098,107691,4702,7724,301997,21718,1119,2712,19820,10282,60935,232462,1590,2300,2626,3879,26945,1487,1721,6616,1411,3950,3656,1634,27525,6071,43007,1603,4947,1348,936891,1842,50741,2750,2372,3050,2324,139693,1387,25774,398,1288,28340,23360
12/31/2029,43241,9417,1051,107938,4702,8114,302003,19740,1159,2725,20054,10375,60983,232376,1707,2343,2606,3889,27393,1483,1721,6786,1409,3921,4383,1691,27861,6071,43007,1600,5625,885,937228,2073,55465,2750,2398,3224,2408,139694,1383,26383,576,1330,28363,23340
